"Map Symbol","Source","Well Type","Well Type - Name","Hole Direction","Production ID","Entity Type","Primary API","Operator Name","Original Operator Name","Lease Name","Well Num","Location","Field Name","TX Survey","TX Blk","TX Sec","County Name","State","Prod Zone Name","Play Name","Play Type","Lower Perf","Upper Perf","TD","TVD","Status Name","Comp Date","First Prod Date","Last Prod Date","Max IP - Oil","Max IP - Gas","Max IP - Water","Max IP Date - Oil","Max IP Date - Gas","Max IP Date - Water","Oil Mo 2","Gas Mo 2","Wtr Mo 2","Oil Mos 2+3","Gas Mos 2+3","Wtr Mos 2+3","N Months Mos 2+3","Oil Mos 2 thru 4","Gas Mos 2 thru 4","Wtr Mos 2 thru 4","N Months Mos 2 thru 4","Oil Mos 2 thru 7","Gas Mos 2 thru 7","Wtr Mos 2 thru 7","N Months Mos 2 thru 7","Oil Mos 2 thru 13","Gas Mos 2 thru 13","Wtr Mos 2 thru 13","N Months Mos 2 thru 13","Oil Mos 2 thru 25","Gas Mos 2 thru 25","Wtr Mos 2 thru 25","N Months Mos 2 thru 25","Oil Cum","Gas Cum","Wtr Cum","Oil Last 12 Mos","Gas Last 12 Mos","Wtr Last 12 Mos"
"O","PI","B7","OIL WELL","HORIZONTAL","142080046681N 10SS","ALLOCATED","42317400510000","QEP ENERGY CO","","MABEE Y UL","N 10SS","SEC:8 BLK:39 SRV:G&MMB&A ABS:370","SPRABERRY","G&MMB&A","39","8","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","20132","9573","20253","9462","ACTIVE","2015-05-18","2015-04-01","2021-05-31","954","","1857","2015-05-18","","2015-05-18","22749","20249","","49150","46913","","2","68060","71229","","3","118395","142552","","6","181254","217418","","12","279613","324491","16042","24","502768","549315","350738","54074","59016","114197"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080046681N 10WB","ALLOCATED","42317400120000","QEP ENERGY CO","","MABEE Y UL","N 10WB","SEC:8 BLK:39 SRV:G&MMB&A ABS:370","SPRABERRY","G&MMB&A","39","8","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","20711","10158","20825","9962","ACTIVE","2015-04-25","2015-04-01","2021-05-31","952","","2474","2015-05-12","","2015-05-12","25444","27890","","47914","56764","","2","65521","82505","","3","102320","171022","","6","136842","237691","","12","206313","456151","42155","24","313386","1042244","193008","11641","120279","16015"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080046681N 10WD","ALLOCATED","42317399870000","QEP ENERGY CO","","MABEE Y UL","N 10WD","SEC:8 BLK:39 SRV:G&MMB&A ABS:370","SPRABERRY","G&MMB&A","39","8","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","21461","10896","21575","10708","ACTIVE","2015-04-30","2015-04-01","2021-05-31","844","","2136","2015-05-11","","2015-05-11","24328","30389","","41458","55124","","2","55686","76806","","3","86397","155176","","6","124137","234756","","12","169969","362077","20395","24","259162","647398","167817","19656","58762","37197"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080047337S 05WB","ALLOCATED","42317397610000","QEP ENERGY CO","","UNIVERSITY 7-2730 AL4","S 05WB","SEC:27 BLK:7 SRV:UNIVERSITY LANDS ABS:U27","SPRABERRY","UNIVERSITY LANDS","7","27","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","18725","10252","18840","10082","ACTIVE","2014-11-30","2014-11-01","2021-05-31","464","","2079","2014-12-20","","2014-12-20","9700","12614","43489","16485","29432","73467","2","21343","42659","94572","3","28419","76881","124449","6","55808","165644","215221","12","86089","316536","225885","24","159170","660879","358394","13841","90749","36846"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080047382S 10MS","ALLOCATED","42317402830000","QEP ENERGY CO","","MABEE KJ WEST","S 10MS","SEC:1 BLK:HA SRV:MOORE H A ABS:916","SPRABERRY","MOORE H A","HA","1","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","18077","9047","18199","8723","ACTIVE","2016-01-05","2016-01-01","2021-05-31","492","","1253","2016-02-28","","2016-02-28","14912","14069","37953","27102","29173","59665","2","36944","42664","77188","3","60147","71060","115354","6","97470","104750","162013","12","145628","157801","208498","24","257009","352592","614043","23524","31914","129637"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080047382S 13MS","ALLOCATED","42317402840000","QEP ENERGY CO","","MABEE KJ WEST","S 13MS","SEC:1 BLK:HA SRV:MOORE H A ABS:916","SPRABERRY","MOORE H A","HA","1","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","18057","9052","18173","8728","ACTIVE","2016-01-02","2016-01-01","2021-05-31","503","","1328","2016-02-17","","2016-02-17","15236","21341","40225","27673","42996","63239","2","37724","62350","81811","3","59754","108924","123158","6","87383","186236","178235","12","116888","275197","264128","24","189552","505939","652244","14325","55942","89434"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080047382S 15MS","ALLOCATED","42317402850000","QEP ENERGY CO","","MABEE KJ WEST","S 15MS","SEC:1 BLK:HA SRV:MOORE H A ABS:916","SPRABERRY","MOORE H A","HA","1","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","18121","9087","18246","8745","ACTIVE","2015-12-28","2015-12-01","2021-05-31","488","","1563","2016-02-22","","2016-02-22","15997","14200","47962","30778","31623","95304","2","42843","49709","122380","3","67583","92135","179356","6","99039","157240","265502","12","135374","240830","401499","24","210465","446498","751062","16754","54000","72160"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080047652S 03WD","ALLOCATED","42317400360000","QEP ENERGY CO","","UNIVERSITY 7-2730 AL2","S 03WD","SEC:27 BLK:7 SRV:UNIVERSITY LANDS ABS:U27","SPRABERRY","UNIVERSITY LANDS","7","27","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","19399","10900","19563","10822","ACTIVE","2015-05-02","2015-05-01","2021-05-31","542","","1410","2015-05-14","","2015-05-14","10224","19086","22487","17776","37658","36074","2","22822","47808","44123","3","36873","69982","62725","6","63528","125111","62725","12","100395","209200","62725","24","178975","465679","165879","12530","64708","7326"
"O","PI","B7","OIL WELL","HORIZONTAL","142080047768N 02SA","ALLOCATED","42317405220100","QEP ENERGY CO","","UNIVERSITY 7-0213","N 02SA","SEC:16 BLK:7 SRV:UNIVERSITY LANDS ABS:U22","SPRABERRY","UNIVERSITY LANDS","7","16","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","19623","9582","19739","9261","ACTIVE","2017-04-01","2017-02-01","2021-05-31","1437","","1353","2017-04-01","","2017-04-01","32016","24948","30126","60043","43945","55722","2","79077","60080","72586","3","123370","105902","111879","6","180990","193490","163096","12","256071","345866","230086","24","334526","465613","293011","27706","34514","20220"
"O","PI","B7","OIL WELL","HORIZONTAL","142080047768N 03SC","ALLOCATED","42317405230000","QEP ENERGY CO","","UNIVERSITY 7-0213","N 03SC","SEC:16 BLK:7 SRV:UNIVERSITY LANDS ABS:U22","SPRABERRY","UNIVERSITY LANDS","7","16","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","19691","9642","19851","9431","ACTIVE","2017-04-04","2017-03-01","2021-05-31","1602","","1176","2017-04-04","","2017-04-04","38229","18321","28057","66470","36347","48176","2","89150","52231","64346","3","144300","96567","102446","6","213782","161252","145698","12","293372","253334","174975","24","422787","501759","215131","50162","110040","12480"
